ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code
sre,Sre,,,,sree1244,
gorum,Gorum,,,,pare1266,
mnongrolom,Mnong-Rölöm,,,,east2333,
pacoh,Pacoh,,,,paco1243,
warlamin,War-Lamin,,,,warj1242,
bugan,Bugan,,,,buga1247,
pnar,Pnar,,,,pnar1238,
nge,Nge',,,,ngeq1245,
kharia,Kharia,,,,khar1287,
khasi,Khasi,,,,khas1269,
jeh,Jeh,,,,jehh1245,
maltin,Mal-T'in,,,,mall1246,
mankong,Mankong,,,,sooo1254,
stieng,Stieng,,,,bulo1242,
brao,Brao,,,,lave1249,
riangsak,Riang-Sak,,,,rian1261,
soueisaravan,Souei-Saravan,,,,,
nyahkur,Nyahkur,,,,nyah1250,
jrulaven,Jru-Laven,,,,lave1248,
ruc,Ruc,,,,rucc1239,
khmersurin,Khmer-Surin,,,,nort2684,
vietnamese,Vietnamese,,,,viet1252,
car,Car,,,,carn1240,
khmerstandard,Khmer-Standard,,,,cent1989,
taoi,TaOi,,,,lowe1395,
wapraok,Wa-Praok,,,,para1301,
khmucuang,Khmu-Cuang,,,,khmu1256,
mon,Mon,,,,monn1252,
nyaheun,Nyaheun,,,,nyah1249,
palaungkalaw,Palaung-Kalaw,,,,ruch1235,
katuandiem,Katu-AnDiem,,,,east1236,
rengao,Rengao,,,,reng1252,
bahnargolar,Bahnar-Golar,,,,gola1254,
alak,Alak,,,,alak1253,
kuihuffman1979,Kui(Huffman1979),,,,,
sora,Sora,,,,sora1254,
karii,Karii,,,,male1282,
santali,Santali,,,,sant1410,
bahnarkontum,Bahnar-Kontum,,,,kont1244,
palaungnamhsan,Palaung-Namhsan,,,,shwe1236,
khmuyuan,Khmu-Yuan,,,,yuan1241,
manmet,ManMet,,,,manm1238,
mang,Mang,,,,mang1378,
sedang,Sedang,,,,seda1262,
lawaratanakul,Lawa(Ratanakul),,,,west2396,
nancowri,Nancowri,,,,cent1990,
in,In,,,,irrr1240,
sosakonnakhon,So-SakonNakhon,,,,sooo1254,
bruubon,Bru-Ubon,,,,east2332,
idu,Idu,,,,idum1241,
katang,Katang,,,,kata1264,
bahnarpleiku,Bahnar-Pleiku,,,,bahn1262,
palaungdaraang,Palaung-Dara'ang,,,,ruch1235,
sokhammouane,So-Khammouane,,,,sooo1254,
brutalan,Bru-Talan,,,,ongg1239,
kuisriwises1978,Kui(Sriwises1978),,,,,
halang,Halang,,,,hala1252,
cua,Cua,,,,cuaa1241,
